loss,init,min_samples_split,learning_rate,max_depth,min_samples_leaf,n_estimators
0.0111927832476135,True,0.8745272531398522,0.4997115376991421,4,460,48
0.0101681699578457,True,0.0305213974816633,0.0460727678128143,769,921,128
0.0114783843733919,False,0.2908222505131279,0.0306420689999281,415,294,529
0.0090750833974585,False,0.0835950387395483,0.2258305887557889,447,906,291
0.0111986412447561,True,0.96938019405624,0.1455831758228857,84,912,638
0.0229363514266487,False,0.8612093088878274,0.1097616822235374,936,567,439
0.0109884666627347,True,0.6697735123856128,0.3318043470343662,156,80,39
0.0096065678656253,False,0.5333777303157048,0.2726681265243229,6,238,620
0.0093172259613876,True,0.6784342017477479,0.3079006444906145,786,631,329
0.0229485655335061,False,0.8074023758899834,0.2678812915357725,930,853,882
0.008646342851183,True,0.4523834953036287,0.2590352233945099,537,477,776
0.0228814375781573,False,0.8713171696215536,0.0059177376873854,39,166,203
0.0110271904598901,False,0.1511589669528724,0.0170217565660631,670,226,645
0.0094246725947901,False,0.2202863108271099,0.2408653587779748,773,760,332
0.0099647178333553,False,0.2179956298825958,0.0695510075181792,304,703,529
0.0081618519291354,True,0.2245609325528185,0.4199943557101529,268,782,793
0.0090766138544617,True,0.5620732102663903,0.3495953641047279,784,143,153
0.0111968758363014,True,0.8334482341248048,0.0829047538446741,810,727,986
0.008315227666023,False,0.0757575570221764,0.4071620237909524,348,682,846
0.0092753302755703,True,0.6780664941783636,0.2031541744860833,302,649,788
0.0085419624729898,True,0.3597397358251686,0.4331944348019536,268,859,599
0.0085470634988051,False,0.0162341595171735,0.4057640020594826,472,356,194
0.0079101314277414,True,0.3943613987381282,0.4952566962606083,687,117,793
0.0081216012397876,True,0.4156499022882949,0.4983530000288505,547,106,832
0.007913043154836,True,0.3953424960416648,0.4963369289275397,949,106,881
0.0083567704496655,True,0.391237493959075,0.4641237905674426,390,471,736
0.0077834409012562,True,0.3210878578415641,0.3677941201706391,99,117,727
0.0082996862903093,True,0.3095942913067747,0.3809172051829582,484,805,849
0.0101012488326105,True,0.5854475846340234,0.4536972256657204,884,161,47
0.0087446029657048,True,0.454330281440225,0.3649618407679216,198,705,413
0.0085242300525018,True,0.3047091322769309,0.3087247868456999,250,798,585
0.0083089733863569,True,0.1512393757606698,0.4999119750531156,958,581,282
0.0087534194027997,True,0.4994529254377259,0.4639264738077712,174,848,592
0.0072621820147649,True,0.1417060441684357,0.1965253415691055,312,64,946
0.0085880939694459,True,0.1340864801394636,0.1825791990685522,235,544,316
0.0072367439075875,True,0.0749462289935739,0.1355156144098394,856,87,851
0.0088662330408575,True,0.0008988526151614,0.13652547174932,520,910,184
0.0087790522155141,True,0.0685940591632686,0.1757087977041924,846,831,233
0.0088143086667501,True,0.1214588464757861,0.1267344792631816,549,148,141
0.0111988312974103,True,0.9798532485199823,0.1617324667137443,798,3,393
0.0093430516214252,True,0.2544757081018564,0.1040585167920931,891,987,390
0.0081844743397339,True,0.0407811198198401,0.0435204597395815,907,281,725
0.0206866012411013,False,0.1851233493122858,0.2133212602589985,639,408,5
0.0097006703762378,True,0.7373221553377578,0.2908071272723747,315,651,240
0.022946828474436,False,0.9135446544573408,0.236236040611611,955,522,868
0.0097105292484186,True,0.6222974282513573,0.0678698748618086,497,763,718
0.0084531643573911,True,0.2516048376121925,0.1921457821480444,64,777,729
0.0084364262149465,False,0.1037943635536249,0.15636702750905,856,685,756
0.0083060490424679,True,0.1858393198142718,0.0917818602228281,323,340,946
0.0093650710623219,True,0.3443711821761129,0.0291395787763428,101,64,460
0.0109551068305173,False,0.0329627398121605,0.1205969875768621,146,641,100
0.009290552961116,True,0.745777043618367,0.2218590087500681,289,351,613
