loss,init,min_samples_split,learning_rate,max_depth,min_samples_leaf,n_estimators
0.0167662006814894,False,0.550047111427446,0.319584129676924,101,808,432
0.0258847218296781,False,0.2107209682764617,0.0415107338436328,717,936,262
0.0452482164063286,False,0.928589645240901,0.3669801055157483,323,435,933
0.015958051579414,False,0.3493766926001432,0.2253006439356876,13,648,558
0.0156998749934022,False,0.1553833085172954,0.4424812882451867,621,380,651
0.0159277567881553,False,0.2480015193534619,0.1871805638496778,692,989,845
0.0333769519362182,False,0.231205680098647,0.0105411071237098,630,659,511
0.0149885628600351,True,0.0608238806033799,0.2990236198327556,838,512,216
0.0144842716426516,True,0.0111318222276128,0.4415669004740847,824,888,720
0.0451782234096879,False,0.8026180394249967,0.4800686039258094,739,841,134
0.0142439722211282,True,0.0645297807691638,0.3918914334439984,113,411,461
0.0166102205646048,False,0.7548911503878242,0.4069412569486604,104,374,406
0.0314168773053968,False,0.3908193779055043,0.0125548559090488,309,30,424
0.0152006577408691,True,0.2702374476213671,0.4239891821468171,568,414,209
0.0155756970326784,False,0.3831957937643139,0.4141259905571394,134,135,385
0.0140594576422146,True,0.0325098593542404,0.4474587763927214,615,611,959
0.017106179016188,False,0.2631735282287135,0.111194319651732,183,573,378
0.0201396251212009,False,0.6764341793465738,0.0819478863442354,861,686,741
0.0171070424801383,False,0.5412901011620184,0.482452491337056,153,906,492
0.0163384415597072,False,0.0874825865080154,0.3138471673695656,138,630,177
0.0143483754947424,True,0.1075762220414042,0.3473011393203667,871,185,362
0.0142615302220168,True,0.0402275374112517,0.492577500886132,228,509,639
0.0139273258820451,True,0.0107385237808215,0.2616533020309517,615,194,753
0.0143063970392617,True,0.0091272755783484,0.2549116062973613,100,586,673
0.0216720741245737,True,0.9968858446186782,0.1613675296854424,615,277,115
0.0152562510692448,True,0.4525063050642371,0.2601503621717242,426,123,324
0.0160423056993254,True,0.1465309951990524,0.1701651447946351,130,534,109
0.0147700640624739,True,0.1653279693317096,0.2127195494200899,634,485,816
0.0153975684020481,True,0.5968897239718509,0.2847250608728853,469,141,364
0.0152031476088985,True,0.3153009233818589,0.3486507798505895,467,317,172
0.0150795134552589,True,0.459513861076083,0.114389264692302,600,194,913
0.0138607558403394,True,0.0005061031822743,0.3722882509243606,959,364,882
0.0139238937441193,True,0.1669303279342492,0.3655330531209435,410,161,914
0.0156457989654802,True,0.1631486718917503,0.36567690724427,362,364,123
0.0146613372771158,True,0.3183618110627411,0.3379205800309446,752,243,654
0.0145037583872323,True,0.2038726300833239,0.3853536078679623,802,331,852
0.0153392046821302,True,0.1111870836699452,0.3245291095971586,858,867,145
0.0152116230384102,True,0.6315056239080578,0.2194675600747796,870,3,802
0.0148291390747469,True,0.2041333507614173,0.4581956125130961,874,271,582
0.021669490769761,True,0.8176633004526368,0.2973042777499622,982,997,426
0.0150168996936303,True,0.4951048380065543,0.3789695629185887,813,116,559
0.0149509628823341,True,0.3572024750160103,0.2762097353986174,959,261,593
0.0153355461722968,True,0.4364080724348927,0.2330094617643471,534,330,369
0.0155189939170316,True,0.2863521685862399,0.427517025376353,807,369,220
0.0216677986281902,True,0.8778861659425525,0.471302634496361,884,112,865
0.0149289555285859,False,0.0015236922400127,0.4017355899312921,677,851,658
0.0142396964998379,True,0.2254546154538613,0.1975229235184099,788,109,768
0.0140360373187079,True,0.1311702056892265,0.326439367315064,270,173,823
0.0178476006903009,False,0.6998766416183888,0.3678602621044325,516,166,144
0.0137962995930503,True,0.0651427302012507,0.2986619558883051,572,147,914
0.0153475429180751,False,0.0746706727341589,0.1561802019848224,329,739,408
0.0170294299536768,True,0.4029836690332844,0.0523501989721371,157,147,139
0.0374532288871593,False,0.5598160171263565,0.240454086969895,38,631,9
0.0144895250442687,True,0.0746193498769791,0.3061716511157733,301,628,434
0.0151312880882049,True,0.0329768641115564,0.4327795023276524,123,916,175
0.016799701652806,False,0.3061180475943199,0.4025608187573362,724,788,413
0.0150669399612165,True,0.2400763170729429,0.1431199488056034,277,524,714
0.0152471118643211,True,0.3591598633150052,0.4996141859417725,572,919,215
0.0216821328016006,True,0.9086940886950906,0.2747941599544091,764,308,296
0.0203252042869872,False,0.5148262702666624,0.2051006800830407,829,967,171
0.0216778438681355,True,0.9724243813249646,0.182550391424009,971,782,66
0.01490061170963,True,0.1924945956773311,0.4525444796424562,417,794,431
0.0149056669249262,True,0.1084752556569637,0.1244663526792184,559,836,672
0.0169213870691144,False,0.7695599855096757,0.3416591158356504,91,891,975
0.0148557653512346,True,0.045334274288072,0.4689868267480492,990,986,252
0.0143683573202827,True,0.1339293768322765,0.3632792080453983,410,364,843
0.014560652152404,True,0.1783906726025645,0.293927832380452,29,418,735
0.0141465784210939,True,0.254990830690645,0.4136663310197078,642,139,882
0.0212472416490733,True,0.0054939192259861,0.3152332619844444,545,856,3
0.014067823031086,True,0.0514849668159884,0.3520822409903668,959,463,833
0.0143943822080325,True,0.0871968603719012,0.3893764867452546,80,315,455
0.0148162676824252,True,0.2743323540623851,0.2433910451833944,162,622,841
0.0149292339255365,True,0.4087244028429334,0.3332819005382888,531,203,564
0.0179735957036165,True,0.3367269431482095,0.2712301625344432,212,464,11
0.0153961717214527,True,0.1444120159309876,0.4373808264113896,190,942,261
0.0140152452844598,True,0.0297886979091912,0.2934074965773727,964,412,973
0.0150033439748358,True,0.1085185909585269,0.3785636263012867,612,114,92
0.0142901700154425,True,0.2235495686275888,0.359895712717295,304,124,513
0.0149740711431743,True,0.1623754234397832,0.2513906021362005,569,514,352
0.0161257608651077,True,0.0198799028142834,0.3164078787969639,673,812,57
0.0169773409792742,False,0.6649860807654272,0.4196511715387294,710,958,951
0.014851622984108,True,0.1861996412688021,0.4846622059467467,33,946,954
0.0148310958415079,True,0.2993187827281426,0.3975196567738736,507,910,699
0.0150842609800062,True,0.3790481730175462,0.3720237672023567,821,592,709
0.0143485544946218,False,0.0550166770329685,0.2202356568213927,713,168,914
0.0156476290817795,True,0.582211427719466,0.2809152432372159,546,393,397
0.0155417491328812,True,0.0927475392099152,0.2628173767640943,852,730,120
0.014716953116765,True,0.1282069858821279,0.3298348732045086,418,926,899
0.0164594175010615,False,0.5000707189924894,0.3100119133097114,410,161,390
0.0156841565410747,True,0.2155552452560157,0.0901360417704119,686,861,427
0.0175513482119885,True,0.2814631290453648,0.3556774019476519,43,402,22
0.0153997270823992,True,0.4302423461039559,0.1893111741744808,584,679,549
0.0150739060311892,True,0.3287254570088493,0.4644522924872356,767,610,914
0.0154137436714382,False,0.0621428758426419,0.2336216267469658,22,600,389
0.0158040386482782,True,0.2447647449690188,0.4087396510214807,24,177,75
0.0164642846811909,True,0.003001162284347,0.3028703028356422,40,650,27
0.0159961153890045,True,0.461400952861815,0.4420379756759007,880,496,169
0.0157200998940255,False,0.0846557748015326,0.3401237592769991,290,585,346
0.0216809325583278,True,0.8351498143974768,0.2892560801365032,803,136,163
0.0181043781791253,True,0.1699052640409086,0.005923646254769,221,337,509
0.015409047060067,True,0.7186370927271157,0.3828092831650856,922,193,882
0.0149907755293168,True,0.3742094647796816,0.4991615943486504,644,419,663
0.0160117940456667,False,0.622847267444383,0.4274451160201626,140,6,228
0.0163670446815069,True,0.2028338004969964,0.1757910320783902,817,52,38
0.0149420363681147,True,0.257638648673406,0.0294161960582144,783,32,997
0.0145913645553028,True,0.1129311644047218,0.4504489005782807,519,119,96
0.0141059254743503,True,0.0659555854800208,0.3725130406666138,218,404,547
0.015406433917941,True,0.5363676211984645,0.2677452661905487,79,752,742
0.014920777993501,False,0.0231663601732691,0.2048126535545025,420,381,325
0.0150191636479621,True,0.3452431506405852,0.323719519057896,371,838,394
0.0142185524891868,True,0.1492006680916183,0.3960547106605525,655,115,602
0.0150195262655872,True,0.4735812852468486,0.3498943256182199,444,282,819
