loss,init,min_samples_split,learning_rate,max_depth,min_samples_leaf,n_estimators
0.0330428259065641,False,0.9593963163611048,0.2365516153235797,83,575,422
0.0151030849633808,False,0.591729113305609,0.3540332295163681,181,779,391
0.0138833045887106,False,0.5096612534382726,0.132192324259188,558,421,833
0.0180723081676079,False,0.5959921733755325,0.0898197056236173,208,516,382
0.0330571739915877,False,0.9625341825424646,0.0881713365513923,484,29,722
0.0133414814758315,False,0.3179647024362814,0.1263797577516182,645,181,740
0.0124212034908575,True,0.1522813642621429,0.3052725753086688,675,419,932
0.013676735042349,False,0.3570914617240673,0.3704235847172552,470,37,212
0.0144762556728026,True,0.4562031712531367,0.3325249404666244,500,327,66
0.0330562904967119,False,0.9934859936955908,0.1317950782480904,768,192,112
0.0130259473467778,True,0.3424785647944165,0.4263718869169861,195,669,589
0.015561632956077,True,0.736171880181761,0.0161590726522464,390,185,712
0.0132037982886598,False,0.0350297296813754,0.0820624390513485,606,492,493
0.0141326216266468,True,0.7301611370633263,0.1738305382608723,471,20,665
0.0136285507542986,True,0.6065008941419189,0.2481164353874815,777,132,609
0.0126416391121532,True,0.1665971255599413,0.2107049353986544,321,740,751
0.0133333026686623,True,0.291491006582493,0.3350610066087705,3,96,480
0.0330390012587133,False,0.9181881285742688,0.0214893070387841,451,193,501
0.0146954360654167,False,0.5700141324811417,0.3464216958610504,2,354,301
0.0130706826966144,True,0.3046151956955937,0.1124769376812978,594,274,684
0.0124051381142872,True,0.0156164518802818,0.4993603628246217,257,930,771
0.012108001841408,True,0.0283473255253539,0.4903546111579632,887,334,620
0.0126789348108454,True,0.000188445227165,0.4966363741771919,836,182,959
0.0121145755241002,True,0.1087555086727976,0.4727364866028563,969,303,677
0.0122814595451966,True,0.1384226376707746,0.4399047431947543,338,605,725
0.0129279657576979,True,0.1005566793923207,0.4223005824917534,844,3,790
0.0126887064499045,True,0.2123637431150662,0.476148756638212,269,809,560
0.0120674960602977,True,0.0645813047887487,0.3894587140274855,407,352,415
0.0134825356326719,True,0.2356464805355858,0.2881677229748329,556,426,100
0.012143087612684,True,0.0491981763108396,0.3936344029753611,407,466,266
0.0135954006525209,True,0.4388262288016588,0.389534853480327,82,947,415
0.0129028501583178,True,0.2252648403400775,0.2806618747649461,25,292,274
0.0157679266248671,True,0.8582455653115703,0.4476133114934806,589,647,255
0.0136237431380621,True,0.413677295859199,0.2073360892779895,9,865,555
0.0122969776691933,True,0.0718645100870158,0.4015151777599773,741,428,370
0.0122142830831578,True,0.002643428195501,0.4816513326355826,790,734,800
0.0150309509807897,False,0.5178456153851432,0.3098756355552799,433,880,426
0.0124392728125816,True,0.3884834473818324,0.4592985530304352,612,86,851
0.0125852835481323,True,0.2580632088925861,0.3685777357441705,59,576,815
0.0138701690574893,False,0.1754268028872909,0.2679434518062862,929,971,495
0.0137669517759732,True,0.7091838535379418,0.4202963714401737,298,130,719
0.0156117497295717,False,0.4875402044605016,0.3081840363456579,168,876,254
0.0123309665601382,True,0.0995527802288663,0.3654508328154374,370,464,474
0.0148015073703174,True,0.6781000212737118,0.2176945084744083,962,950,374
0.0138051242712587,False,0.354104750261532,0.1684428872325098,535,690,849
0.0157596443261795,True,0.8095771514461211,0.3245495775015064,691,402,183
0.0131856550448444,True,0.1742320716587772,0.4990703190042357,129,723,166
0.0131664550433221,False,0.0686949411482234,0.4121508536884283,248,802,293
0.0137545152020593,True,0.2863130719460821,0.0523445955422606,710,398,514
0.0135026592344436,True,0.6392082811100825,0.3795763331266661,813,334,926
0.0142555261092818,True,0.5392439646553118,0.350221577053458,921,429,126
0.014847417729998,False,0.1345878488570506,0.4529886125030223,491,909,179
0.0125939115787233,True,0.3236439017234279,0.2398216686807809,317,31,745
0.0123746927335363,True,0.0258110849713438,0.2637821969282267,782,34,108
0.0133159128610588,False,0.1901469631567908,0.1694713401077956,999,531,601
0.0144240796537727,True,0.265966212564995,0.4272349717361444,200,898,74
0.0131364301381251,True,0.3880149595109328,0.4668558567365888,144,10,347
0.0149673453682886,True,0.7756911343991462,0.3289518840378447,495,383,178
