raw_time,MAPE_tuned,MAPE_without_tuned,1%_hit_rate_tuned,1%_hit_rate_without_tuned,5%_hit_rate_tuned,5%_hit_rate_without_tuned,10%_hit_rate_tuned,10%_hit_rate_without_tuned,15%_hit_rate_tuned,15%_hit_rate_without_tuned,20%_hit_rate_tuned,20%_hit_rate_without_tuned
10108,0.004384806823459471,0.007799304947012867,0.9159561510353228,0.7247259439707674,1.0,0.9987819732034104,1.0,1.0,1.0,1.0,1.0,1.0
10109,0.004235855853271077,0.0070440284396164005,0.9236902050113895,0.7630979498861048,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10110,0.004201180643637503,0.007388016368911673,0.9211538461538461,0.7336538461538461,0.9990384615384615,0.9990384615384615,1.0,1.0,1.0,1.0,1.0,1.0
10111,0.004527493429649316,0.007541355264989447,0.9075215782983971,0.7385943279901356,1.0,0.998766954377312,1.0,1.0,1.0,1.0,1.0,1.0
10112,0.004033650172518956,0.006958149472558396,0.9292730844793713,0.74950884086444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10201,0.004733221023863609,0.008060968238643211,0.9065420560747663,0.7071651090342679,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10202,0.00429557544545933,0.007434149947066021,0.9050179211469535,0.7419354838709677,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10203,0.004247864511022124,0.00712657844999327,0.9285014691478942,0.7629774730656219,0.9990205680705191,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10204,0.003928560686113509,0.006881548466374539,0.9315068493150684,0.7808219178082192,0.9991438356164384,0.9991438356164384,1.0,1.0,1.0,1.0,1.0,1.0
10205,0.00401307167099307,0.006831300245728061,0.9186795491143317,0.785829307568438,0.999194847020934,0.999194847020934,1.0,1.0,1.0,1.0,1.0,1.0
10206,0.004087297044745396,0.007080573255973016,0.9221674876847291,0.7635467980295566,1.0,0.9980295566502463,1.0,1.0,1.0,1.0,1.0,1.0
10207,0.004454492069245424,0.007482278882147155,0.9032992036405005,0.7315130830489193,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10208,0.004638862074366406,0.0075794317239741334,0.8981818181818182,0.72,0.9987878787878788,0.9987878787878788,1.0,1.0,1.0,1.0,1.0,1.0
10209,0.004246162170688066,0.007246458593741362,0.9127764127764127,0.7592137592137592,0.9987714987714987,0.9987714987714987,1.0,1.0,1.0,1.0,1.0,1.0
10210,0.004826262936477334,0.007742729757309586,0.8957399103139013,0.7309417040358744,0.9988789237668162,0.9988789237668162,1.0,1.0,1.0,1.0,1.0,1.0
10211,0.004195905068934428,0.0068833617089972,0.9113636363636364,0.7738636363636363,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10212,0.00438515247231077,0.00718397199722543,0.9063573883161512,0.7654639175257731,0.9982817869415808,0.9991408934707904,1.0,1.0,1.0,1.0,1.0,1.0
10301,0.004222851138745155,0.006614090404677541,0.918918918918919,0.7853736089030207,1.0,0.9984101748807631,1.0,1.0,1.0,1.0,1.0,1.0
10302,0.004085703147900311,0.006552627964724101,0.9206963249516441,0.7911025145067698,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10303,0.003912298985873117,0.006283534734579509,0.934878587196468,0.8090507726269316,0.9988962472406181,0.9988962472406181,1.0,1.0,1.0,1.0,1.0,1.0
10304,0.003826031991210714,0.007268776768932445,0.9381746810598626,0.7556427870461236,1.0,0.9990186457311089,1.0,1.0,1.0,1.0,1.0,1.0
10305,0.004359786668782498,0.007085221831316712,0.9149855907780979,0.7939481268011528,1.0,0.9971181556195965,1.0,1.0,1.0,1.0,1.0,1.0
10306,0.004579815578519001,0.00724569286330785,0.8944723618090452,0.7638190954773869,0.998324958123953,0.9949748743718593,1.0,1.0,1.0,1.0,1.0,1.0
10307,0.004487122548516473,0.007555398512994903,0.917963224893918,0.768033946251768,0.9943422913719944,0.9929278642149929,1.0,1.0,1.0,1.0,1.0,1.0
10308,0.0041071822898536324,0.0071361097503644146,0.9144851657940664,0.774869109947644,0.9982547993019197,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10309,0.004522367446800422,0.007140769937242262,0.9075907590759076,0.7739273927392739,1.0,0.9966996699669967,1.0,1.0,1.0,1.0,1.0,1.0
10310,0.004412881937057369,0.00665624288223288,0.918732782369146,0.790633608815427,0.9972451790633609,0.9972451790633609,1.0,1.0,1.0,1.0,1.0,1.0
10311,0.0041736483569159944,0.006620555372612947,0.9210134128166915,0.7928464977645305,0.9985096870342772,0.9985096870342772,1.0,1.0,1.0,1.0,1.0,1.0
10312,0.003881400092786815,0.006308881948467302,0.9316338354577057,0.8064889918887601,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10401,0.004397955027333808,0.007081367084611285,0.9222462203023758,0.7451403887688985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10402,0.004435597975370717,0.007279442172653731,0.9256756756756757,0.7567567567567568,0.9966216216216216,0.9966216216216216,1.0,1.0,1.0,1.0,1.0,1.0
10403,0.003883545571437056,0.006379460311117374,0.935374149659864,0.7993197278911565,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10404,0.004045682500364045,0.0067057111107582165,0.9356357927786499,0.7629513343799058,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10405,0.0042529349012937374,0.007068524783222436,0.9254545454545454,0.7618181818181818,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10406,0.0043947629999324545,0.007293035636656583,0.9020408163265307,0.7285714285714285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10407,0.004363647011858569,0.007241937294799735,0.935064935064935,0.7532467532467533,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10408,0.004521749527640249,0.007415468522226681,0.8977272727272727,0.7454545454545455,0.9977272727272727,0.9977272727272727,1.0,1.0,1.0,1.0,1.0,1.0
10409,0.004365135164124939,0.007111184838806036,0.9135338345864662,0.7612781954887218,1.0,0.9981203007518797,1.0,1.0,1.0,1.0,1.0,1.0
10410,0.004561634046549019,0.007562888727662581,0.9053803339517625,0.7495361781076066,0.9962894248608535,0.9944341372912802,1.0,1.0,1.0,1.0,1.0,1.0
10411,0.004569975197439472,0.007508286131700857,0.8904761904761904,0.7507936507936508,1.0,0.9984126984126984,1.0,1.0,1.0,1.0,1.0,1.0
10412,0.004183421473056053,0.0072062621360911615,0.9144827586206896,0.7558620689655172,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10501,0.00399100621925059,0.007085230170670643,0.9281437125748503,0.7155688622754491,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10502,0.004254053026121071,0.007204967759600566,0.9346733668341709,0.7236180904522613,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10503,0.004214630959965755,0.00707171652244057,0.9333333333333333,0.764102564102564,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10504,0.004106983516459965,0.006781927616488945,0.9118852459016393,0.7540983606557377,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
